date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2025-02-24,36.85756934468772,37.04755754401712,36.47759656975241,36.762577056884766,2193,32.01430581307718,30,0.002590669532334333,0.1798780795748598,3.0399999999999636,1173.89,1176.93
2025-02-25,36.76257807887862,37.71251547821025,36.57258987426758,36.57258987426758,5194,32.01430581307718,30,-0.005167950612472327,0.17378052793087817,-6.080000000000155,1176.93,1170.85
2025-02-26,36.76257807887862,36.857570369322346,36.38260166965653,36.57258987426758,0,32.01430581307718,30,0.0,0.17378052793087817,0.0,1170.85,1170.85
2025-02-27,36.477596852133644,37.04755783081055,36.477596852133644,37.04755783081055,2032,32.01430581307718,30,0.012986992667892938,0.189024407040832,15.200000000000045,1170.85,1186.05
2025-02-28,36.47759653437352,36.47759653437352,35.62265145008215,35.71764373779297,8189,32.01430581307718,30,-0.03589748342093302,0.14634142310199905,-42.569999999999936,1186.05,1143.48
2025-03-03,35.812639649227286,36.09762013608324,35.62265145008215,35.71764373779297,3832,32.01430581307718,30,0.0,0.14634142310199905,0.0,1143.48,1143.48
2025-03-04,35.622651271228904,35.622651271228904,33.24780785314697,33.34280014038086,10308,32.01430581307718,30,-0.06648936908733649,0.07012190512126759,-76.02999999999997,1143.48,1067.45
2025-03-05,33.34280087796112,34.57772238166035,32.67784760516744,32.86783218383789,12590,32.01430581307718,30,-0.014244993058268762,0.05487802601131375,-15.210000000000036,1067.45,1052.24
2025-03-06,33.4377963690084,35.432663409659725,33.2478081690122,34.67271423339844,16043,32.01430581307718,30,0.05491332800610027,0.11280488906010055,57.77999999999997,1052.24,1110.02
2025-03-07,34.5777222279489,35.0526909199607,34.29273811376298,34.95769500732422,6907,32.01430581307718,30,0.008219165422338692,0.12195121652607277,9.13000000000011,1110.02,1119.15
2025-03-10,35.337670785803766,35.337670785803766,33.24780785314697,33.34280014038086,7145,32.01430581307718,30,-0.046195690722886984,0.07012190512126759,-51.700000000000045,1119.15,1067.45
2025-03-11,33.43779884253202,34.00775986095933,33.24781062848165,33.53279113769531,4917,32.01430581307718,30,0.005698111631732949,0.07621957919621125,6.079999999999927,1067.45,1073.53
2025-03-12,34.102752685546875,34.19774497209108,33.81776857846736,34.102752685546875,3411,32.01430581307718,30,0.01699714006839259,0.09451223412815568,18.25,1073.53,1091.78
2025-03-13,34.38773316890295,34.48272545544715,33.912764488735014,34.102752685546875,1505,32.01430581307718,30,0.0,0.09451223412815568,0.0,1091.78,1091.78
2025-03-14,34.48272705078125,35.052691667586096,33.91276605770002,34.48272705078125,3272,32.01430581307718,30,0.011142043832591098,0.10670733741611871,12.160000000000082,1091.78,1103.94
2025-03-17,34.48272705078125,34.48272705078125,34.48272705078125,34.48272705078125,0,32.01430581307718,30,0.0,0.10670733741611871,0.0,1103.94,1103.94
2025-03-18,34.10275297370856,35.242674916764955,33.91276477529133,34.387733459472656,10086,32.01430581307718,30,-0.002754816670059168,0.1036585615941279,-3.0399999999999636,1103.94,1100.9
2025-03-19,35.05269220643784,36.57259062716835,35.05269220643784,36.09762191772461,10651,32.01430581307718,30,0.04972379061467147,0.1585366488209239,54.74000000000001,1100.9,1155.64
2025-03-20,36.38260108335964,36.47759699599612,34.672714516861845,34.95769500732422,8128,32.01430581307718,30,-0.031579002988024074,0.12195121652607255,-36.49000000000001,1155.64,1119.15
2025-03-21,35.05269344595339,35.14768574171174,34.29274058499139,34.86270523071289,3086,32.01430581307718,30,-0.002717278029670589,0.11890256313504399,-3.040000000000191,1119.15,1116.11
2025-03-24,34.86270523071289,34.86270523071289,34.86270523071289,34.86270523071289,0,32.01430581307718,30,0.0,0.11890256313504399,0.0,1116.11,1116.11
2025-03-25,35.05269194724494,35.05269194724494,34.3877350341959,34.76770782470703,770,32.01430581307718,30,-0.002724900588671808,0.11585366488209092,-3.0499999999999545,1116.11,1113.06
2025-03-26,34.95769649664643,35.14768470629003,34.767708287002826,35.05269241333008,4977,32.01430581307718,30,0.008196818440257658,0.12500011477902562,9.13000000000011,1113.06,1122.19
