date,open,high,low,close,volume,shares_owned,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2024-01-17,24.38257997582268,24.6705643067775,24.38257997582268,24.478574752807617,1100,20,-0.019230800092958078,0.3478503884339108,-9.600000000000023,499.17,489.57
2024-01-18,24.190593719482422,24.190593719482422,24.190593719482422,24.190593719482422,0,20,-0.011764616046208487,0.3319934461262528,-5.759999999999991,489.57,483.81
2024-01-19,23.902606964111328,23.902606964111328,23.902606964111328,23.902606964111328,0,20,-0.01190490645705633,0.31613618874870775,-5.759999999999991,483.81,478.05
2024-01-22,23.902608702238197,23.902608702238197,23.80661392211914,23.80661392211914,20,20,-0.004016007213619721,0.3108505763205869,-1.920000000000016,478.05,476.13
2024-01-23,23.80661392211914,23.80661392211914,23.80661392211914,23.80661392211914,0,20,0.0,0.3108505763205869,0.0,476.13,476.13
2024-01-24,23.99860382080078,23.99860382080078,23.99860382080078,23.99860382080078,2000,20,0.008064561357180589,0.32142201122341985,3.840000000000032,476.13,479.97
2024-01-25,24.382579803466797,24.382579803466797,24.382579803466797,24.382579803466797,0,20,0.015999930059814815,0.3425646709824943,7.67999999999995,479.97,487.65
2024-01-26,24.190592081802123,24.382579803466797,24.190592081802123,24.382579803466797,388,20,0.0,0.3425646709824943,0.0,487.65,487.65
2024-01-29,23.90260908717545,23.90260908717545,22.55868763671002,22.846670150756836,2006,20,-0.06299208964309755,0.25799371687630934,-30.71999999999997,487.65,456.93
2024-01-30,22.750676082950708,23.326641082763672,22.750676082950708,23.326641082763672,25,20,0.021008353901889487,0.2844220940868003,9.599999999999966,456.93,466.53
2024-01-31,22.846669718683536,22.846669718683536,22.558687210083008,22.558687210083008,830,20,-0.03292175114093532,0.24213666954535573,-15.359999999999957,466.53,451.17
2024-02-01,22.558687378856085,22.654682159423828,22.558687378856085,22.654682159423828,400,20,0.004255342895038483,0.24742238699677221,1.919999999999959,451.17,453.09
2024-02-02,22.558687210083008,22.558687210083008,22.558687210083008,22.558687210083008,0,20,-0.004237311680883038,0.24213666954535573,-1.919999999999959,453.09,451.17
2024-02-05,22.366697650383898,22.558687210083008,22.366697650383898,22.558687210083008,55,20,0.0,0.24213666954535573,0.0,451.17,451.17
2024-02-06,22.65468155040973,22.65468155040973,22.27070426940918,22.27070426940918,200,20,-0.012765944134599638,0.22627962221440212,-5.759999999999991,451.17,445.41
2024-02-07,22.366698801497872,22.366698801497872,22.078716278076172,22.078716278076172,100,20,-0.008620652001415152,0.215708292334865,-3.840000000000032,445.41,441.57
2024-02-08,21.502748489379883,21.502748489379883,21.502748489379883,21.502748489379883,0,20,-0.02608701436451799,0.1839940926496617,-11.519999999999982,441.57,430.05
2024-02-09,21.79073143005371,21.79073143005371,21.79073143005371,21.79073143005371,0,20,0.013392843283083655,0.19985113998061554,5.759999999999991,430.05,435.81
2024-02-12,22.27070426940918,22.27070426940918,22.27070426940918,22.27070426940918,0,20,0.022026467578481146,0.22627962221440212,9.600000000000023,435.81,445.41
2024-02-13,21.79073317027714,22.078715685975816,21.694738388061523,21.694738388061523,855,20,-0.025862041648085476,0.19456552755249468,-11.520000000000039,445.41,433.89
2024-02-14,21.694738388061523,21.694738388061523,21.694738388061523,21.694738388061523,0,20,0.0,0.19456552755249468,0.0,433.89,433.89
2024-02-15,21.6947374324343,22.27070426940918,21.6947374324343,22.27070426940918,220,20,0.026548643779203518,0.22627962221440212,11.520000000000039,433.89,445.41
2024-02-16,21.88672637939453,21.88672637939453,21.88672637939453,21.88672637939453,0,20,-0.017241389646670324,0.20513685743203203,-7.680000000000007,445.41,437.73
2024-02-19,21.694738388061523,21.694738388061523,21.694738388061523,21.694738388061523,0,20,-0.008771891602471715,0.1945655275524949,-3.840000000000032,437.73,433.89
2024-02-20,22.27070426940918,22.27070426940918,22.27070426940918,22.27070426940918,0,20,0.026548643779203518,0.22627962221440234,11.520000000000039,433.89,445.41
2024-02-21,23.038658582857188,23.326641082763672,23.038658582857188,23.326641082763672,379,20,0.04741371447354337,0.28442209408680075,21.119999999999948,445.41,466.53
2024-02-22,23.518630981445312,23.518630981445312,23.518630981445312,23.518630981445312,0,20,0.008230499110457146,0.2949935289896337,3.840000000000032,466.53,470.37
2024-02-23,23.902606964111328,23.902606964111328,23.902606964111328,23.902606964111328,0,20,0.016326459774335778,0.3161361887487082,7.680000000000007,470.37,478.05
2024-02-26,24.766558032151806,24.958547592163086,24.766558032151806,24.958547592163086,1500,20,0.04417679751991921,0.37427887066769805,21.120000000000005,478.05,499.17
2024-02-27,24.574569702148438,24.574569702148438,24.574569702148438,24.574569702148438,0,20,-0.015384624790234835,0.35313610588532796,-7.680000000000007,499.17,491.49
2024-02-28,24.766557693481445,24.766557693481445,24.766557693481445,24.766557693481445,0,20,0.007812466043555011,0.3637074357648653,3.839999999999975,491.49,495.33
2024-02-29,24.670565249834315,25.054542541503906,24.670565249834315,25.054542541503906,100,20,0.011627972348303262,0.37956458811911475,5.759999999999991,495.33,501.09
2024-03-01,24.862553192159975,26.39846420288086,24.862553192159975,26.39846420288086,560,20,0.05363984032638758,0.4535642123457626,26.880000000000052,501.09,527.97
